player_id,name,role, Goals Conceded, Minutes played, Punches,Saves,Throws,Passes,Accurate Passes,Key Passes,goals,assists,chances_created,total_shots,shot_on_target,crosses,long_balls,touches,aerials_won,aerials_lost,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_won,duels_lost,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
50638,Charles Aránguiz,Midfielder,,90,,,,61,53,0,0,0,0,0,0,0,7,77,0,1,0,2,0,0,3,5,0,1,7,3,2,0,0,,,,6.2
671331,Leon Bailey,Attacker,,45,,,,19,12,0,0,0,0,0,0,3,6,36,0,0,1,0,4,2,3,3,0,2,4,1,1,0,0,1,,,6.5
208230,Karim Bellarabi,Attacker,,45,,,,10,4,0,0,0,0,0,0,3,4,22,0,0,0,1,2,0,2,6,2,0,0,2,1,0,0,1,1,,5.5
269222,Lucas Alario,Attacker,,76,,,,20,15,0,1,0,1,3,1,0,2,32,2,2,0,0,3,1,4,7,3,0,0,1,0,0,0,1,,,7
923498,Moussa Diaby,Attacker,,90,,,,23,20,1,0,0,0,3,2,5,1,44,0,1,0,2,4,2,3,5,0,0,5,0,0,1,0,,,,6.4
707970,Djibril Sow,Midfielder,,9,,,,7,5,0,0,0,0,0,0,0,3,14,0,1,0,0,0,0,4,2,0,0,4,3,2,1,1,0,,,
24123,Jonathan de Guzmán,Midfielder,,9,,,,15,12,1,0,0,0,0,0,1,3,16,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,,,
448859,Mijat Gacinovic,Midfielder,,45,,,,17,14,0,0,0,0,2,0,1,2,29,1,0,0,0,1,0,5,3,1,0,2,1,1,3,1,0,,,6
158234,Timothy Chandler,Midfielder,,45,,,,16,9,0,0,0,0,1,0,3,5,26,0,2,0,0,1,1,1,5,3,0,5,0,0,0,1,0,1,,5.5
145550,Kevin Trapp,Keeper,0,90,0,2,3,67,59,0,,,,0,0,0,19,74,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,,,,6.6
118296,Stefan Ilsanker,Midfielder,,90,,,,51,43,0,0,0,0,0,0,1,5,73,7,5,2,2,0,0,9,12,2,4,3,2,2,1,0,,,,6.2
30530,Makoto Hasebe,Defender,,90,,,,69,60,0,0,0,0,0,0,0,13,82,1,2,1,0,1,1,5,2,0,0,6,1,0,2,0,,,,6.4
195207,Martin Hinteregger,Defender,,90,,,,58,43,0,0,0,0,2,0,1,10,79,4,2,1,1,1,1,7,6,4,0,7,2,2,0,0,,1,,6.4
563216,Almamy Touré,Defender,,45,,,,19,11,1,0,0,0,1,0,3,3,42,2,1,2,1,5,4,7,3,0,1,2,1,0,0,0,1,,,6.6
303905,Dominik Kohr,Midfielder,,81,,,,49,43,1,0,0,0,0,0,1,3,64,3,3,2,2,0,0,7,7,0,1,6,3,2,1,0,1,,,6.4
141370,Sebastian Rode,Midfielder,,81,,,,59,56,1,0,0,0,1,0,1,4,74,2,3,1,0,1,1,7,6,2,0,7,0,0,4,0,1,1,,6.5
281012,Filip Kostic,Midfielder,,90,,,,34,21,1,0,0,0,3,0,16,4,68,2,2,0,2,3,1,5,7,1,0,4,2,2,0,0,,,,6
621515,Daichi Kamada,Midfielder,,90,,,,35,27,2,0,0,0,0,0,0,4,45,2,3,0,2,0,0,6,7,1,0,6,2,2,2,0,,,,6.2
388523,André Silva,Attacker,,90,,,,21,11,1,0,0,0,0,0,0,0,32,2,6,0,2,0,0,3,8,0,0,1,0,0,1,0,,,,5.3
104045,Bas Dost,Attacker,,45,,,,16,7,1,0,0,0,1,0,0,1,19,9,3,0,1,0,0,9,9,3,0,2,0,0,0,0,1,,,5.8
260470,Leonardo Bittencourt,Midfielder,,14,,,,9,4,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,,5.8
501568,Davie Selke,Attacker,,4,,,,3,0,0,0,0,0,0,0,0,0,5,2,3,0,1,0,0,3,5,1,0,0,0,0,1,1,0,,,
35852,Fin Bartels,Attacker,,29,,,,12,5,0,0,0,0,0,0,0,0,18,1,3,0,0,1,1,3,3,0,0,0,1,0,0,1,0,,,5.8
1106563,Nick Woltemade,Attacker,,5,,,,2,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,,,
429697,Jiri Pavlenka,Keeper,0,90,0,2,8,28,11,0,,,,0,0,0,22,39,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,,,,6
107588,Theodor Gebre Selassie,Defender,,90,,,,47,40,3,0,0,0,2,0,3,1,76,4,3,2,0,1,1,8,5,2,0,4,3,2,0,0,,,,7.2
515333,Milos Veljkovic,Defender,,90,,,,54,41,0,0,0,0,2,0,1,9,69,3,3,5,0,0,0,3,5,0,2,5,0,0,0,0,,,,6.3
46078,Niklas Moisander,Defender,,90,,,,56,44,0,0,0,0,0,0,0,10,62,0,1,1,0,1,0,0,3,1,1,5,0,0,0,0,,,,5.9
281857,Ludwig Augustinsson,Defender,,90,,,,37,25,4,0,0,0,2,0,9,5,80,2,3,2,1,0,0,10,9,2,2,4,6,0,2,0,,,,6.9
167589,Kevin Vogt,Defender,,90,,,,71,63,0,0,0,0,0,0,0,8,83,2,0,4,0,0,0,4,1,1,3,11,2,2,0,0,,,,6.9
134217,Philipp Bargfrede,Midfielder,,61,,,,29,20,1,0,0,0,1,0,0,2,36,2,2,1,0,1,0,3,6,3,1,4,1,1,1,0,1,,,6.1
602523,Maximilian Eggestein,Midfielder,,90,,,,59,49,0,0,0,0,1,0,1,6,75,1,3,0,0,3,1,5,7,1,0,9,2,1,1,0,,,,6.1
298448,Davy Klaassen,Midfielder,,85,,,,31,26,2,0,0,0,1,0,3,3,41,1,4,1,0,0,0,2,7,1,0,4,1,1,0,0,1,1,,6
